"ケースID","DTMF入力","注入STT（発話/入力）","期待終端","チェックポイント","カバレッジ","備考","判定(PASS/FAIL)","実機ログ・メモ"
"24","24","入力_受診タイミング確認: 本日受診 / 入力_診療科_本日: other / 入力_受診歴確認: あり / 入力_紹介状確認: NO_RESULT→NO_RESULT→あり","END_終話1","リトライ_紹介状確認:true / リトライ_紹介状確認:true / 紹介状確認:あり","リトライ_紹介状確認 2回失敗→3回目成功（retry_count>=2 の場合のみ有効）","retry_count=1 の設定ではこのケースは exhaust になる（設計書と突合のこと）","",""
"25","25","入力_受診タイミング確認: 本日受診 / 入力_診療科_本日: other / 入力_受診歴確認: あり / 入力_紹介状確認: other / 入力_選定療養費確認: 希望する","END_終話1","選定療養費確認:希望する / 症状確認_本日","入力_選定療養費確認(enum) ^希望する$→症状確認_本日","","",""
"26","26","入力_受診タイミング確認: 本日受診 / 入力_診療科_本日: other / 入力_受診歴確認: あり / 入力_紹介状確認: other / 入力_選定療養費確認: other","END_終話2","選定療養費確認:other / END_終話2","入力_選定療養費確認(enum) ^other$→END_終話2","","",""
"27","27","入力_受診タイミング確認: 本日受診 / 入力_診療科_本日: other / 入力_受診歴確認: あり / 入力_紹介状確認: other / 入力_選定療養費確認: NO_RESULT→希望する","END_終話1","リトライ_選定療養費確認:true / 選定療養費確認:希望する","リトライ_選定療養費確認 true（1回戻り→成功）","","",""
"28","28","入力_受診タイミング確認: 本日受診 / 入力_診療科_本日: other / 入力_受診歴確認: あり / 入力_紹介状確認: other / 入力_選定療養費確認: NO_RESULT","完了フラグ_聴取失敗","リトライ_選定療養費確認:false","リトライ_選定療養費確認 false（exhaust）。デッドエンドが出たら構造監査所見として記録","","",""
"29","29","入力_受診タイミング確認: 本日受診 / 入力_診療科_本日: other / 入力_受診歴確認: あり / 入力_紹介状確認: other / 入力_選定療養費確認: INVALID_INPUT","★catch-all未設定（要確認）","選定療養費確認:catch-all / 未設定","入力_選定療養費確認 ^.*$（不正入力→catch-all ルート検証）","★ catch-all 未設定: no ^.*$ in conditions。E-16 catch-all 欠落を確認","",""
"30","30","入力_受診タイミング確認: 本日受診 / 入力_診療科_本日: other / 入力_受診歴確認: あり / 入力_紹介状確認: other / 入力_選定療養費確認: NO_RESULT→NO_RESULT→希望する","END_終話1","リトライ_選定療養費確認:true / リトライ_選定療養費確認:true / 選定療養費確認:希望する","リトライ_選定療養費確認 2回失敗→3回目成功（retry_count>=2 の場合のみ有効）","retry_count=1 の設定ではこのケースは exhaust になる（設計書と突合のこと）","",""
"31","31","入力_受診タイミング確認: other / 入力_用件確認: 予約","END_救急科","用件確認:予約 / 予約内容確認","入力_用件確認(enum) ^予約$→予約内容確認","","",""
"32","32","入力_受診タイミング確認: other / 入力_用件確認: 変更","END_救急科","用件確認:変更 / 変更_診療科","入力_用件確認(enum) ^変更$→変更_診療科","","",""
"33","33","入力_受診タイミング確認: other / 入力_用件確認: キャンセル","END_救急科","用件確認:キャンセル / キャンセル_診療科","入力_用件確認(enum) ^キャンセル$→キャンセル_診療科","","",""
"34","34","入力_受診タイミング確認: other / 入力_用件確認: other","END_終話2","用件確認:other / 確認内容","入力_用件確認(enum) ^other$→確認内容","","",""
"35","35","入力_受診タイミング確認: other / 入力_用件確認: NO_RESULT→予約","END_救急科","リトライ_用件確認:true / 用件確認:予約","リトライ_用件確認 true（1回戻り→成功）","","",""
"36","36","入力_受診タイミング確認: other / 入力_用件確認: NO_RESULT","完了フラグ_聴取失敗","リトライ_用件確認:false","リトライ_用件確認 false（exhaust）。デッドエンドが出たら構造監査所見として記録","","",""
"37","37","入力_受診タイミング確認: other / 入力_用件確認: INVALID_INPUT","★catch-all未設定（要確認）","用件確認:catch-all / 未設定","入力_用件確認 ^.*$（不正入力→catch-all ルート検証）","★ catch-all 未設定: no ^.*$ in conditions。E-16 catch-all 欠落を確認","",""
"38","38","入力_受診タイミング確認: other / 入力_用件確認: NO_RESULT→NO_RESULT→予約","END_救急科","リトライ_用件確認:true / リトライ_用件確認:true / 用件確認:予約","リトライ_用件確認 2回失敗→3回目成功（retry_count>=2 の場合のみ有効）","retry_count=1 の設定ではこのケースは exhaust になる（設計書と突合のこと）","",""
"39","39","入力_受診タイミング確認: other / 入力_用件確認: 予約 / 入力_予約の種類: 診察予約","END_救急科","予約の種類:診察予約 / 予約_診療科","入力_予約の種類(enum) ^診察予約$→予約_診療科","","",""
"40","40","入力_受診タイミング確認: other / 入力_用件確認: 予約 / 入力_予約の種類: 妊婦初診","END_終話3","予約の種類:妊婦初診 / 産婦_出産予定日","入力_予約の種類(enum) ^妊婦初診$→産婦_出産予定日","","",""
"41","41","入力_受診タイミング確認: other / 入力_用件確認: 予約 / 入力_予約の種類: 区の健診・予防接種","END_終話1","予約の種類:区の健診・予防接種 / 用件の確認1_区健診","入力_予約の種類(enum) ^区の健診・予防接種$→用件の確認1_区健診","","",""
"42","42","入力_受診タイミング確認: other / 入力_用件確認: 予約 / 入力_予約の種類: other","END_終話2","予約の種類:other / END_終話2","入力_予約の種類(enum) ^other$→END_終話2","","",""
"43","43","入力_受診タイミング確認: other / 入力_用件確認: 予約 / 入力_予約の種類: NO_RESULT→診察予約","END_救急科","リトライ_予約の種類:true / 予約の種類:診察予約","リトライ_予約の種類 true（1回戻り→成功）","","",""
"44","44","入力_受診タイミング確認: other / 入力_用件確認: 予約 / 入力_予約の種類: NO_RESULT","完了フラグ_聴取失敗","リトライ_予約の種類:false","リトライ_予約の種類 false（exhaust）。デッドエンドが出たら構造監査所見として記録","","",""
"45","45","入力_受診タイミング確認: other / 入力_用件確認: 予約 / 入力_予約の種類: INVALID_INPUT","★catch-all未設定（要確認）","予約の種類:catch-all / 未設定","入力_予約の種類 ^.*$（不正入力→catch-all ルート検証）","★ catch-all 未設定: no ^.*$ in conditions。E-16 catch-all 欠落を確認","",""
"46","46","入力_受診タイミング確認: other / 入力_用件確認: 予約 / 入力_予約の種類: NO_RESULT→NO_RESULT→診察予約","END_救急科","リトライ_予約の種類:true / リトライ_予約の種類:true / 予約の種類:診察予約","リトライ_予約の種類 2回失敗→3回目成功（retry_count>=2 の場合のみ有効）","retry_count=1 の設定ではこのケースは exhaust になる（設計書と突合のこと）","",""
"47","47","入力_受診タイミング確認: other / 入力_用件確認: 予約 / 入力_予約の種類: 診察予約 / 入力_予約_診療科: 救急科","END_救急科","予約_診療科:救急科 / END_救急科","入力_予約_診療科(enum) ^救急科$→END_救急科","","",""
"48","48","入力_受診タイミング確認: other / 入力_用件確認: 予約 / 入力_予約の種類: 診察予約 / 入力_予約_診療科: other","END_終話1","予約_診療科:other / 予約希望日程_予約","入力_予約_診療科(enum) ^other$→予約希望日程_予約","","",""
"49","49","入力_受診タイミング確認: other / 入力_用件確認: 予約 / 入力_予約の種類: 診察予約 / 入力_予約_診療科: NO_RESULT→救急科","END_救急科","リトライ_予約_診療科:true / 予約_診療科:救急科","リトライ_予約_診療科 true（1回戻り→成功）","","",""
"50","50","入力_受診タイミング確認: other / 入力_用件確認: 予約 / 入力_予約の種類: 診察予約 / 入力_予約_診療科: NO_RESULT","完了フラグ_聴取失敗","リトライ_予約_診療科:false","リトライ_予約_診療科 false（exhaust）。デッドエンドが出たら構造監査所見として記録","","",""
"51","51","入力_受診タイミング確認: other / 入力_用件確認: 予約 / 入力_予約の種類: 診察予約 / 入力_予約_診療科: INVALID_INPUT","★catch-all未設定（要確認）","予約_診療科:catch-all / 未設定","入力_予約_診療科 ^.*$（不正入力→catch-all ルート検証）","★ catch-all 未設定: no ^.*$ in conditions。E-16 catch-all 欠落を確認","",""
"52","52","入力_受診タイミング確認: other / 入力_用件確認: 予約 / 入力_予約の種類: 診察予約 / 入力_予約_診療科: NO_RESULT→NO_RESULT→救急科","END_救急科","リトライ_予約_診療科:true / リトライ_予約_診療科:true / 予約_診療科:救急科","リトライ_予約_診療科 2回失敗→3回目成功（retry_count>=2 の場合のみ有効）","retry_count=1 の設定ではこのケースは exhaust になる（設計書と突合のこと）","",""
"53","53","入力_受診タイミング確認: other / 入力_用件確認: 予約 / 入力_予約の種類: 妊婦初診 / 入力_産婦_和通分娩: 希望する","END_終話3","産婦_和通分娩:希望する / 産婦_区市町村","入力_産婦_和通分娩(enum) ^希望する$→産婦_区市町村","","",""
"54","54","入力_受診タイミング確認: other / 入力_用件確認: 予約 / 入力_予約の種類: 妊婦初診 / 入力_産婦_和通分娩: other","END_終話3","産婦_和通分娩:other / 産婦_区市町村","入力_産婦_和通分娩(enum) ^other$→産婦_区市町村","","",""
"55","55","入力_受診タイミング確認: other / 入力_用件確認: 予約 / 入力_予約の種類: 妊婦初診 / 入力_産婦_和通分娩: NO_RESULT→希望する","END_終話3","リトライ_産婦_和通分娩:true / 産婦_和通分娩:希望する","リトライ_産婦_和通分娩 true（1回戻り→成功）","","",""
"56","56","入力_受診タイミング確認: other / 入力_用件確認: 予約 / 入力_予約の種類: 妊婦初診 / 入力_産婦_和通分娩: NO_RESULT","完了フラグ_聴取失敗","リトライ_産婦_和通分娩:false","リトライ_産婦_和通分娩 false（exhaust）。デッドエンドが出たら構造監査所見として記録","","",""
"57","57","入力_受診タイミング確認: other / 入力_用件確認: 予約 / 入力_予約の種類: 妊婦初診 / 入力_産婦_和通分娩: INVALID_INPUT","★catch-all未設定（要確認）","産婦_和通分娩:catch-all / 未設定","入力_産婦_和通分娩 ^.*$（不正入力→catch-all ルート検証）","★ catch-all 未設定: no ^.*$ in conditions。E-16 catch-all 欠落を確認","",""
"58","58","入力_受診タイミング確認: other / 入力_用件確認: 予約 / 入力_予約の種類: 妊婦初診 / 入力_産婦_和通分娩: NO_RESULT→NO_RESULT→希望する","END_終話3","リトライ_産婦_和通分娩:true / リトライ_産婦_和通分娩:true / 産婦_和通分娩:希望する","リトライ_産婦_和通分娩 2回失敗→3回目成功（retry_count>=2 の場合のみ有効）","retry_count=1 の設定ではこのケースは exhaust になる（設計書と突合のこと）","",""
"59","59","入力_受診タイミング確認: other / 入力_用件確認: 変更 / 入力_変更_診療科: 救急科","END_救急科","変更_診療科:救急科 / END_救急科","入力_変更_診療科(enum) ^救急科$→END_救急科","","",""
"60","60","入力_受診タイミング確認: other / 入力_用件確認: 変更 / 入力_変更_診療科: other","END_終話1","変更_診療科:other / 変更_現在予約日","入力_変更_診療科(enum) ^other$→変更_現在予約日","","",""
"61","61","入力_受診タイミング確認: other / 入力_用件確認: 変更 / 入力_変更_診療科: NO_RESULT→救急科","END_救急科","リトライ_変更_診療科:true / 変更_診療科:救急科","リトライ_変更_診療科 true（1回戻り→成功）","","",""
"62","62","入力_受診タイミング確認: other / 入力_用件確認: 変更 / 入力_変更_診療科: NO_RESULT","完了フラグ_聴取失敗","リトライ_変更_診療科:false","リトライ_変更_診療科 false（exhaust）。デッドエンドが出たら構造監査所見として記録","","",""
"63","63","入力_受診タイミング確認: other / 入力_用件確認: 変更 / 入力_変更_診療科: INVALID_INPUT","★catch-all未設定（要確認）","変更_診療科:catch-all / 未設定","入力_変更_診療科 ^.*$（不正入力→catch-all ルート検証）","★ catch-all 未設定: no ^.*$ in conditions。E-16 catch-all 欠落を確認","",""
"64","64","入力_受診タイミング確認: other / 入力_用件確認: 変更 / 入力_変更_診療科: NO_RESULT→NO_RESULT→救急科","END_救急科","リトライ_変更_診療科:true / リトライ_変更_診療科:true / 変更_診療科:救急科","リトライ_変更_診療科 2回失敗→3回目成功（retry_count>=2 の場合のみ有効）","retry_count=1 の設定ではこのケースは exhaust になる（設計書と突合のこと）","",""
"65","65","入力_受診タイミング確認: other / 入力_用件確認: キャンセル / 入力_キャンセル_診療科: 救急科","END_救急科","キャンセル_診療科:救急科 / END_救急科","入力_キャンセル_診療科(enum) ^救急科$→END_救急科","","",""
"66","66","入力_受診タイミング確認: other / 入力_用件確認: キャンセル / 入力_キャンセル_診療科: other","END_終話1","キャンセル_診療科:other / キャンセル_現在予約日","入力_キャンセル_診療科(enum) ^other$→キャンセル_現在予約日","","",""
"67","67","入力_受診タイミング確認: other / 入力_用件確認: キャンセル / 入力_キャンセル_診療科: NO_RESULT→救急科","END_救急科","リトライ_キャンセル_診療科:true / キャンセル_診療科:救急科","リトライ_キャンセル_診療科 true（1回戻り→成功）","","",""
"68","68","入力_受診タイミング確認: other / 入力_用件確認: キャンセル / 入力_キャンセル_診療科: NO_RESULT","完了フラグ_聴取失敗","リトライ_キャンセル_診療科:false","リトライ_キャンセル_診療科 false（exhaust）。デッドエンドが出たら構造監査所見として記録","","",""
"69","69","入力_受診タイミング確認: other / 入力_用件確認: キャンセル / 入力_キャンセル_診療科: INVALID_INPUT","★catch-all未設定（要確認）","キャンセル_診療科:catch-all / 未設定","入力_キャンセル_診療科 ^.*$（不正入力→catch-all ルート検証）","★ catch-all 未設定: no ^.*$ in conditions。E-16 catch-all 欠落を確認","",""
"70","70","入力_受診タイミング確認: other / 入力_用件確認: キャンセル / 入力_キャンセル_診療科: NO_RESULT→NO_RESULT→救急科","END_救急科","リトライ_キャンセル_診療科:true / リトライ_キャンセル_診療科:true / キャンセル_診療科:救急科","リトライ_キャンセル_診療科 2回失敗→3回目成功（retry_count>=2 の場合のみ有効）","retry_count=1 の設定ではこのケースは exhaust になる（設計書と突合のこと）","",""
