"ケースID","優先","区分","DTMF入力","注入STT（発話/入力）","期待終端","チェックポイント","カバレッジ","備考","判定(PASS/FAIL)","実機ログ・メモ"
"11","","正常系","11","入力_用件確認: 変更 / 入力_変更_診療科: 脳神経外科 / 入力_現在の予約日: 分からない / 入力_不可日: 来週の木曜日 / 入力_希望日①: 来週の水曜日 / _comment: で / 入力_患者_氏名: フジタマリコ / 入力_生年月日: 19700620 / 入力_患者_診察券番号: 9012345 / 入力_連絡先電話番号（固定）: 08022334455","終話","save-変更","","変更 → 脳神経外科 → 現在の予約日=不明 → 不可日指定あり","",""
"12","","正常系","12","入力_用件確認: キャンセル / 入力_変更_診療科: 形成外科 / 入力_現在の予約日: 20260815 / 入力_理由: 仕事の都合がつかなくなった / _comment: ロ / 入力_患者_氏名: マツモトコウジ / 入力_生年月日: 平成15年9月9日 / 入力_患者_診察券番号: 6789012 / 入力_連絡先電話番号（固定）: 07044556677","終話","save-キャンセル","","用件=キャンセル → 診療科=形成外科 → 現在の予約日 → 理由 → 終話","",""
"13","","正常系","13","入力_用件確認: キャンセル / 入力_変更_診療科: 救急科 / _comment: ー / 入力_患者_氏名: ナカムラユキ / 入力_生年月日: 19951010 / 入力_患者_診察券番号: 3571246 / 入力_連絡先電話番号（固定）: 09088990011","終話","save-不可","","キャンセルフロー → 診療科=救急科 → キャンセル不可終話","",""
"14","","正常系","14","入力_用件確認: キャンセル / 入力_変更_診療科: 産婦人科 / 入力_現在の予約日: 20260920 / 入力_理由: NO_RESULT→NO_RESULT→体調が悪い / _comment: テ / 入力_患者_氏名: ヨシダケンタ / 入力_生年月日: 昭和47年8月25日 / 入力_患者_診察券番号: 8024689 / 入力_連絡先電話番号（固定）: 08044556677","終話","save-キャンセル","","キャンセル → 理由ノードでリトライ上限 → 理由なしで通過するか確認","",""
"15","","正常系","15","入力_用件確認: お問い合わせ / 入力_相談_問合せ: 診察時間を教えてください / 入力_追加の質問: いいえ / _comment: ー / 入力_患者_氏名: コバヤシナオコ / 入力_生年月日: 19880303 / 入力_患者_診察券番号: 4680135 / 入力_連絡先電話番号（固定）: 07066778899","終話","save-details","","用件=お問い合わせ → FAQ検索成功 → save-details 終話","",""
"16","","正常系","16","入力_用件確認: お問い合わせ / 入力_相談_問合せ: NO_RESULT / _comment: シ / 入力_患者_氏名: ニシムラタカシ / 入力_生年月日: 平成12年12月12日 / 入力_患者_診察券番号: 7913580 / 入力_連絡先電話番号（固定）: 09033445566","終話","相談_FAQ失敗","","FAQ検索 NO_RESULT → 相談_FAQ失敗 端末ノード","",""
"17","","正常系","17","入力_用件確認: お問い合わせ / 入力_相談_問合せ: 駐車場はありますか / 入力_追加の質問: 支払い方法を教えてください / _comment: ョ / 入力_患者_氏名: ヤマダタロウ / 入力_生年月日: 19800101 / 入力_患者_診察券番号: 1234567 / 入力_連絡先電話番号（固定）: 09012345678","終話","save-details","","FAQ成功後 → 追加質問=あり → もう一度 FAQ","",""
"18","","正常系","18","入力_用件確認: 予約 / 入力_変更_診療科: 精神科 / 入力_受診歴: 再診 / 入力－診察か否か: 診察 / 入力_希望日①: NO_RESULT→来週の火曜日 / _comment: ン / 入力_患者_氏名: サトウハナコ / 入力_生年月日: 昭和40年3月15日 / 入力_患者_診察券番号: 9876543 / 入力_連絡先電話番号（固定）: 08087654321","終話①","SAVE-予約","","希望日①で NO_RESULT → リトライ後成功","",""
"19","","正常系","19","入力_用件確認: 予約 / 入力_変更_診療科: 麻酔科 / 入力_受診歴: 初診 / 入力_予約_紹介状有無: あり / 入力_不可日: なし / 入力_希望日①: 今週の金曜日 / _comment: 。 / 入力_患者_氏名: タナカイチロウ / 入力_生年月日: 19651225 / 入力_患者_診察券番号: 4567890 / 入力_連絡先電話番号（固定）: 07099998888","終話①","SAVE-予約","","初診 → 紹介状あり → 不可日指定なし → 希望日だけ","",""
"20","","正常系","20","入力_用件確認: 変更 / 入力_変更_診療科: 小児科 / 入力_現在の予約日: NO_RESULT→NO_RESULT→NO_RESULT / 入力_希望日①: 来週の月曜日 / _comment: b / 入力_患者_氏名: スズキジロウ / 入力_生年月日: 平成2年7月20日 / 入力_患者_診察券番号: 2345678 / 入力_連絡先電話番号（固定）: 09011112222","終話","save-変更","","変更 → 現在の予約日ノードでリトライ上限 → 理由なしで次へ","",""
"2","","正常系","21","入力_用件確認: 予約したいんですが / 入力_変更_診療科: 皮膚科 / 入力_受診歴: 再診 / 入力－診察か否か: その他 / 入力_希望日①: 今週の金曜日 / 入力_患者_氏名: タナカハナコ / 入力_生年月日: 19750615 / 入力_患者_診察券番号: 3579246 / 入力_連絡先電話番号（固定）: 09011223344","終話①","SAVE-予約","","Scripts_用件: 自然文「予約したいんですが」→ キーワードマッチ成功 → 再診 → 皮膚科 → その他","",""
"3","","正常系","22","入力_用件確認: 診察の予約をお願いしたいです / 入力_変更_診療科: 眼科 / 入力_受診歴: 初診 / 入力_予約_紹介状有無: 1 / 入力_希望日①: 来月の5日 / 入力_患者_氏名: サトウケンジ / 入力_生年月日: 19901020 / 入力_患者_診察券番号: 8024601 / 入力_連絡先電話番号（固定）: 08055667788","終話①","SAVE-予約 / save-紹介状","","初診 → 紹介状あり → 眼科 → 希望日あり → 終話①","",""
"4","","正常系","23","入力_用件確認: 予約 / 入力_変更_診療科: 泌尿器科 / 入力_受診歴: 初診 / 入力_予約_紹介状有無: 2 / 入力_選定療養費: 1 / 入力_希望日①: 来週の水曜日 / 入力_患者_氏名: イノウエミホ / 入力_生年月日: 19851225 / 入力_患者_診察券番号: 6142803 / 入力_連絡先電話番号（固定）: 09044556677","終話①","SAVE-予約 / save-選定療養費","","初診 → 紹介状なし → 選定療養費=はい → 終話①","",""
"5","","正常系","24","入力_用件確認: 予約をしたいのですが / 入力_変更_診療科: 循環器内科 / 入力_受診歴: 初診 / 入力_予約_紹介状有無: 2 / 入力_選定療養費: 2 / 入力_患者_氏名: ムラカミアキコ / 入力_生年月日: 20000501 / 入力_患者_診察券番号: 9135702 / 入力_連絡先電話番号（固定）: 07011223344","終話_選定療養費","","","選定療養費=いいえ → 予約しない → 終話_選定療養費","",""
"6","","正常系","25","入力_用件確認: 予約 / 入力_変更_診療科: 救急科 / 入力_患者_氏名: フジワラユウ / 入力_生年月日: 19720810 / 入力_患者_診察券番号: 2468013 / 入力_連絡先電話番号（固定）: 09022334455","終話＿救急科","sms-救急科","","診療科=救急科 → sms-救急科 → 終話＿救急科","",""
"7","","正常系","26","入力_用件確認: 予約したいです / 入力_変更_診療科: 分からない / 入力_受診歴: 再診 / 入力－診察か否か: 診察 / 入力_希望日①: 来週の火曜日 / 入力_患者_氏名: ハシモトリョウ / 入力_生年月日: 19930325 / 入力_患者_診察券番号: 5791234 / 入力_連絡先電話番号（固定）: 08033445566","終話①","SAVE-予約 / save-分からない","","診療科=分からない → save-分からない → 終話①","",""
"8","","正常系","27","入力_用件確認: よやくをしたい / 入力_変更_診療科: 脳神経外科 / 入力_受診歴: なし / 入力_患者_氏名: オオタニカナ / 入力_生年月日: 19980715 / 入力_患者_診察券番号: 3802479 / 入力_連絡先電話番号（固定）: 09055443322","終話_受診歴＿なし","save-受診歴なし","","受診歴=なし → 終話_受診歴＿なし（受診歴なしは受付対象外）","",""
"9","","正常系","28","入力_用件確認: 変更 / 入力_変更_診療科: 外科 / 入力_受診歴: 再診 / 入力_現在の予約日: 今週の金曜日 / 入力_希望日①: 来月の10日 / 入力_患者_氏名: マツダカズキ / 入力_生年月日: 19870429 / 入力_患者_診察券番号: 7013586 / 入力_連絡先電話番号（固定）: 07022113344","終話②","SAVE-変更","","Scripts_用件: 定型単語「変更」→ キーワードマッチ成功 → 外科 → 通常変更 → 終話②","",""
"10","","正常系","29","入力_用件確認: 予約を変更したいです / 入力_変更_診療科: 脳神経外科 / 入力_受診歴: 再診 / 入力_現在の予約日: 来週の月曜日 / 入力_不可日: 月曜日と火曜日は無理です / 入力_希望日①: 来月の15日 / 入力_患者_氏名: ニシムラタカシ / 入力_生年月日: 平成12年12月12日 / 入力_患者_診察券番号: 7913580 / 入力_連絡先電話番号（固定）: 09033445566","終話②","SAVE-変更 / save-不可","","Scripts_用件: 自然文「予約を変更したいです」→ キーワードマッチ成功 → 脳神経外科 → 不可日あり","",""
"11","","正常系","30","入力_用件確認: 変更 / 入力_変更_診療科: 救急科 / 入力_患者_氏名: コバヤシナオコ / 入力_生年月日: 19880303 / 入力_患者_診察券番号: 4680135 / 入力_連絡先電話番号（固定）: 07066778899","終話＿救急科","","","診療科=救急科 → 終話＿救急科","",""
"12","","正常系","31","入力_用件確認: 変更したいのですが / 入力_変更_診療科: 小児科 / 入力_受診歴: 再診 / 入力_現在の予約日: NO_RESULT / 入力_希望日①: 今月末 / 入力_患者_氏名: アオキユキ / 入力_生年月日: 昭和55年4月1日 / 入力_患者_診察券番号: 5024680 / 入力_連絡先電話番号（固定）: 09044332211","終話②","SAVE-変更","","現在の予約日=NO_RESULT → Scripts-現在の予約日=NO_RESULT → そのまま変更継続","",""
"13","","正常系","32","入力_用件確認: キャンセル / 入力_変更_診療科: 形成外科 / 入力_受診歴: 再診 / 入力_現在の予約日: 今週の水曜日 / 入力_理由: 都合が悪くなりました / 入力_患者_氏名: シミズカオル / 入力_生年月日: 19650312 / 入力_患者_診察券番号: 1357924 / 入力_連絡先電話番号（固定）: 03-1234-5678","終話③","SAVE-キャンセル","","Scripts_用件: 定型単語「キャンセル」→ キーワードマッチ成功 → 形成外科 → 通常キャンセル","",""
"14","","正常系","33","入力_用件確認: キャンセルしたいのですが / 入力_変更_診療科: 産婦人科 / 入力_受診歴: 再診 / 入力_現在の予約日: 今月の20日 / 入力_理由: TIMEOUT / 入力_患者_氏名: ウエダサクラ / 入力_生年月日: 19950801 / 入力_患者_診察券番号: 6802413 / 入力_連絡先電話番号（固定）: 09066554433","終話③","SAVE-キャンセル","","Scripts_用件: 自然文「キャンセルしたいのですが」→ キーワードマッチ成功 → 産婦人科 → 理由TIMEOUT","",""
"15","","正常系","34","入力_用件確認: 予約を取り消したいです / 入力_変更_診療科: 内科 / 入力_受診歴: 再診 / 入力_現在の予約日: 来週の木曜日 / 入力_理由: 体調が回復しました / 入力_患者_氏名: モリタカズナリ / 入力_生年月日: 19820614 / 入力_患者_診察券番号: 9246801 / 入力_連絡先電話番号（固定）: 09077889900","終話③","SAVE-キャンセル","","Scripts_用件: 「取り消し」→ キーワードマッチ（キャンセル） → 内科 → 通常キャンセル","",""
"16","","正常系","35","入力_用件確認: キャンセル / 入力_変更_診療科: 救急科 / 入力_患者_氏名: カワムラリナ / 入力_生年月日: 20020214 / 入力_患者_診察券番号: 3158024 / 入力_連絡先電話番号（固定）: 09011334455","終話＿救急科","","","診療科=救急科 → 終話＿救急科","",""
"17","","正常系","36","入力_用件確認: お問い合わせ / 入力_相談_問合せ: 診療時間を教えてください / 入力_追加の質問: 2 / 入力_患者_氏名: スズキマサヒロ / 入力_生年月日: 19701118 / 入力_患者_診察券番号: 4691357 / 入力_連絡先電話番号（固定）: 09033221100","終話","save-details","","Scripts_用件: 「お問い合わせ」→ マッチ → FAQ: 「診療時間を教えてください」→ Scripts完全一致ヒット → TTS回答 → 追加質問なし → 終話","",""
"18","","正常系","37","入力_用件確認: 確認したいことがあります / 入力_相談_問合せ: 紹介状がなくても受診できますか / 入力_追加の質問: 2 / 入力_患者_氏名: ナカムラアイ / 入力_生年月日: 19990930 / 入力_患者_診察券番号: 8135790 / 入力_連絡先電話番号（固定）: 07044332211","終話","save-details","","Scripts_用件: 自然文「確認したいことがあります」→ 問い合わせマッチ → FAQ: 紹介状 → Scripts ANSWER","",""
"19","","正常系","38","入力_用件確認: 質問があるんですが / 入力_相談_問合せ: セカンドオピニオンは対応していますか / 入力_追加の質問: 2 / 入力_患者_氏名: ヨシダタケル / 入力_生年月日: 昭和60年7月7日 / 入力_患者_診察券番号: 2580246 / 入力_連絡先電話番号（固定）: 09055667788","終話","save-details","","FAQ: FAQ未登録質問 → Scripts NO_RESULT → OpenAI fallback → TTS回答 → 追加質問なし","",""
"20","","正常系","39","入力_用件確認: お問い合わせ / 入力_相談_問合せ: 診察券を紛失したのですがどうしたらいいですか / 入力_追加の質問: 駐車場はありますか / 入力_患者_氏名: イケダマモル / 入力_生年月日: 19551205 / 入力_患者_診察券番号: 7802468 / 入力_連絡先電話番号（固定）: 03-9876-5432","終話","save-details","","FAQ成功後 → 追加質問=はい → Scripts-FAQ_最後の質問: 「駐車場はありますか」→ ANSWER","",""
"21","","正常系","40","入力_用件確認: 問い合わせしたいです / 入力_相談_問合せ: 支払い方法を教えてください / 入力_追加の質問: クレジットカードは使えますか / 入力_患者_氏名: オノデラツバサ / 入力_生年月日: 平成5年3月25日 / 入力_患者_診察券番号: 5913578 / 入力_連絡先電話番号（固定）: 08099887766","終話","save-details","","追加質問 Scripts-FAQ_最後の質問: FAQ未登録質問 → NO_RESULT → openAI_最後の質問","",""
"22","","正常系","41","入力_用件確認: お問い合わせ / 入力_相談_問合せ: 初診の予約はできますか / 入力_追加の質問: 紹介状がなくても受診できますか / 入力_患者_氏名: フルカワユミ / 入力_生年月日: 19780522 / 入力_患者_診察券番号: 1246813 / 入力_連絡先電話番号（固定）: 09044556677","終話","save-details","","追加質問 Scripts-FAQ_最後の質問: 完全一致ヒット（紹介状） → ANSWER","",""
"23","","正常系","42","入力_用件確認: NO_RESULT / 入力_変更_診療科: 消化器内科 / 入力_受診歴: 再診 / 入力－診察か否か: 診察 / 入力_希望日①: 今月の25日 / 入力_患者_氏名: ナガタソウスケ / 入力_生年月日: 19910703 / 入力_患者_診察券番号: 8024681 / 入力_連絡先電話番号（固定）: 07033221100","終話①","SAVE-予約","","曖昧な発話 → Scripts_用件 NO_RESULT → OpenAI_入力_用件 fallback → 用件判定 → 予約継続","",""
"24","","正常系","43","入力_用件確認: 予約 / 入力_変更_診療科: 麻酔科 / 入力_受診歴: 初診 / 入力_予約_紹介状有無: 1 / 入力_希望日①: 来週の木曜日 / 入力_連絡先電話番号_非通知: 08011223344 / 入力_患者_氏名: マエダヒロキ / 入力_生年月日: 19560917 / 入力_患者_診察券番号: 3691425 / 入力_連絡先電話番号（固定）: 非通知","終話①","SAVE-予約","","発信番号=非通知 → 分岐ー電話番号=非通知 → 連絡先電話番号（非通知）TTS → 電話番号聴取","",""
"25","","正常系","44","入力_用件確認: 変更 / 入力_変更_診療科: 眼科 / 入力_受診歴: 再診 / 入力_現在の予約日: 今月の30日 / 入力_希望日①: 来月上旬 / 入力_患者_氏名: ツジマユコ / 入力_生年月日: 20031108 / 入力_患者_診察券番号: TIMEOUT / 入力_連絡先電話番号（固定）: 09088776655","終話②","SAVE-変更","","診察券番号=TIMEOUT → Scripts-診察券番号=NO_RESULT → 氏名・生年月日で継続","",""
"26","","正常系","45","入力_用件確認: よやくをお願いしたいです / 入力_変更_診療科: 精神科 / 入力_受診歴: 初診 / 入力_予約_紹介状有無: 1 / 入力_希望日①: 来週の金曜日 / 入力_不可日: 特にありません / 入力_患者_氏名: ヒグチコウヘイ / 入力_生年月日: 19480301 / 入力_患者_診察券番号: 4826013 / 入力_連絡先電話番号（固定）: 06-5555-6666","終話①","SAVE-予約","","初診 → 紹介状あり → 麻酔科 → 不可日なし → 終話①","",""
"27","","正常系","46","入力_用件確認: ちょっと聞きたいことがあります / 入力_相談_問合せ: 診察券を紛失したのですがどうしたらいいですか / 入力_追加の質問: 2 / 入力_患者_氏名: タムラエリコ / 入力_生年月日: 19890207 / 入力_患者_診察券番号: 6024813 / 入力_連絡先電話番号（固定）: 09022113344","終話","save-details","","FAQ: 「診察券を紛失したのですがどうしたらいいですか」→ Scripts完全一致 → ANSWER → 追加質問なし","",""
"28","","正常系","47","入力_用件確認: 予約 / 入力_変更_診療科: 精神科 / 入力_受診歴: 再診 / 入力－診察か否か: 診察 / 入力_希望日①: NO_RESULT→来月の第二月曜日 / 入力_患者_氏名: キクチソウタ / 入力_生年月日: 19771230 / 入力_患者_診察券番号: 9135802 / 入力_連絡先電話番号（固定）: 09066554422","終話①","SAVE-予約","","希望日① → NO_RESULT → リトライ後成功 → 終話①","",""
